Stock,Transaction,Politician,Traded
IVW,Purchase,John BoozmanSenate / R,2025-12-31
CPB,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-30
IJR,Purchase,John BoozmanSenate / R,2025-12-26
SPYM,Purchase,John BoozmanSenate / R,2025-12-24
PLTR,Purchase,Jonathan L. JacksonHouse / D,2025-12-22
FICO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
MRK,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
STZ,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
SQ,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
O,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
DASH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
ERIE,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
FISV,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
FIS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
CLX,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
GEV,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
GIS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
IBM,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
INVH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
TRGP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
BKR,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
CI,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
BMY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
LIN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
BKNG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
BA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
UAL,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
UBER,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
UNH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
APP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
AJG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
VICI,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
ACN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
VRSN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
ZTS,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
MBFJF,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-19
AZN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-18
AAPL,Purchase,John BoozmanSenate / R,2025-12-17
AVGO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-17
MSFT,Purchase,John BoozmanSenate / R,2025-12-17
WFC,Purchase,John BoozmanSenate / R,2025-12-17
AVAV,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-15
ITT,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-11
ANET,Purchase,John BoozmanSenate / R,2025-12-11
SMCI,Purchase,John BoozmanSenate / R,2025-12-11
AGIO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-11
SUPN,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-11
WDAY,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
ARMK,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
COO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
LPLA,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
SYK,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
CP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
CSGP,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
SARO,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
DASH,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
ISRG,Purchase,"Gilbert Ray Cisneros, Jr.House / D",2025-12-10
SHOP,Purchase,Jonathan L. JacksonHouse / D,2025-12-08
