ticker,purchases
ACAAU,1
AGL,1
AHCO,1
APCX,2
AUPH,6
AVBC,2
AWI,1
BBSI,2
BCSF,1
BH,1
BHB,1
CCFN,2
CMTG,2
CSGP,2
CTEV,3
DLPN,1
DMA; MSFIX,6
EDSA,2
ENOV,1
EOSE,1
FA,1
FBLG,1
FFIN,1
FSCO,2
FSK,1
GCBC,1
GENB,11
HBAN,3
HOG,1
IDYA,1
INFU,1
ISPR,6
IVR,1
KDOZF,1
KFS,2
LAW,4
LEE,11
LRHC,1
LRMR,6
MELI,1
MHH,2
MQ,1
MSDL,4
MTDR,1
MYN,1
N/A,11
NA,1
NAII,2
NFRX,1
NMFC,1
NMTC,1
PCB,4
PENN,1
PRHI,2
RCG,7
RDZN,1
SABR,1
SJM,1
SKWD,3
SRBK,3
SWZ,2
THRY,3
TNC,6
TPL,1
TREX,3
TSLX,1
UUU,3
VNO,3
WRB,4
XMTR,1
XRAY,2
XSLLU,2
ZIVO,1
ZURA,1
