Stock,Transaction,Politician,Traded
DRI,Purchase,Rick LarsenHouse / D,2026-01-07
META,Purchase,Rick LarsenHouse / D,2026-01-07
WM,Purchase,Rick LarsenHouse / D,2026-01-07
IVW,Purchase,John BoozmanSenate / R,2025-12-31
IJR,Purchase,John BoozmanSenate / R,2025-12-26
SPYM,Purchase,John BoozmanSenate / R,2025-12-24
WFC,Purchase,John BoozmanSenate / R,2025-12-17
MSFT,Purchase,John BoozmanSenate / R,2025-12-17
XLP,Purchase,Tommy TubervilleSenate / R,2025-12-17
XLU,Purchase,Tommy TubervilleSenate / R,2025-12-17
AAPL,Purchase,John BoozmanSenate / R,2025-12-17
XLV,Purchase,Tommy TubervilleSenate / R,2025-12-17
ANET,Purchase,John BoozmanSenate / R,2025-12-11
SMCI,Purchase,John BoozmanSenate / R,2025-12-11
AZN,Purchase,Julia LetlowHouse / R,2025-12-08
AMZN,Purchase,Julia LetlowHouse / R,2025-10-01
CMG,Purchase,Julia LetlowHouse / R,2025-08-26
AIZ,Purchase,Julia LetlowHouse / R,2025-08-26
CRM,Purchase,Julia LetlowHouse / R,2025-07-25
AMD,Purchase,Julia LetlowHouse / R,2025-06-17
CSCO,Purchase,Julia LetlowHouse / R,2025-06-17
ABBV,Purchase,Julia LetlowHouse / R,2025-04-28
DGX,Purchase,Julia LetlowHouse / R,2025-04-28
ACN,Purchase,Julia LetlowHouse / R,2025-04-22
CNC,Purchase,Julia LetlowHouse / R,2025-04-14
AIG,Purchase,Julia LetlowHouse / R,2025-02-24
DE,Purchase,Julia LetlowHouse / R,2025-01-31
AAPL,Purchase,Julia LetlowHouse / R,2025-01-31
C,Purchase,Julia LetlowHouse / R,2025-01-31
ADBE,Purchase,Julia LetlowHouse / R,2025-01-24
ACI,Purchase,Julia LetlowHouse / R,2025-01-24
AFG,Purchase,Julia LetlowHouse / R,2024-11-19
BXP,Purchase,Julia LetlowHouse / R,2024-10-23
DBX,Purchase,Julia LetlowHouse / R,2024-10-23
CVX,Purchase,Julia LetlowHouse / R,2024-10-23
CRM,Purchase,Julia LetlowHouse / R,2024-10-23
AA,Purchase,Julia LetlowHouse / R,2024-10-23
CI,Purchase,Julia LetlowHouse / R,2024-10-23
CF,Purchase,Julia LetlowHouse / R,2024-10-23
BK,Purchase,Julia LetlowHouse / R,2024-10-23
BMY,Purchase,Julia LetlowHouse / R,2024-10-23
BAH,Purchase,Julia LetlowHouse / R,2024-10-23
ABT,Purchase,Julia LetlowHouse / R,2024-10-23
AZPN,Purchase,Julia LetlowHouse / R,2024-10-23
AVGO,Purchase,Julia LetlowHouse / R,2024-10-23
AAPL,Purchase,Julia LetlowHouse / R,2024-10-23
AMZN,Purchase,Julia LetlowHouse / R,2024-10-23
AMGN,Purchase,Julia LetlowHouse / R,2024-10-23
ACN,Purchase,Julia LetlowHouse / R,2024-10-23
AJG,Purchase,Julia LetlowHouse / R,2024-10-23
ABBV,Purchase,Julia LetlowHouse / R,2024-10-23
BA,Purchase,Julia LetlowHouse / R,2024-10-23
