Stock,Transaction,Politician,Traded
MSFT,Purchase,Markwayne MullinSenate / R,2025-11-03
ASML,Purchase,Lisa C. McClainHouse / R,2025-10-30
AVB,Purchase,Lisa C. McClainHouse / R,2025-10-30
AXP,Purchase,Lisa C. McClainHouse / R,2025-10-30
AZN,Purchase,Lisa C. McClainHouse / R,2025-10-30
BABA,Purchase,Lisa C. McClainHouse / R,2025-10-30
BAC,Purchase,Lisa C. McClainHouse / R,2025-10-30
BAX,Purchase,Lisa C. McClainHouse / R,2025-10-30
BCO,Purchase,Lisa C. McClainHouse / R,2025-10-30
BCS,Purchase,Lisa C. McClainHouse / R,2025-10-30
BHP,Purchase,Lisa C. McClainHouse / R,2025-10-30
BK,Purchase,Lisa C. McClainHouse / R,2025-10-30
BL,Purchase,Lisa C. McClainHouse / R,2025-10-30
BP,Purchase,Lisa C. McClainHouse / R,2025-10-30
BRK.B,Purchase,Lisa C. McClainHouse / R,2025-10-30
BRO,Purchase,Lisa C. McClainHouse / R,2025-10-30
BSX,Purchase,Lisa C. McClainHouse / R,2025-10-30
BWXT,Purchase,Lisa C. McClainHouse / R,2025-10-30
CACI,Purchase,Lisa C. McClainHouse / R,2025-10-30
CASY,Purchase,Lisa C. McClainHouse / R,2025-10-30
CEG,Purchase,Lisa C. McClainHouse / R,2025-10-30
CHRD,Purchase,Lisa C. McClainHouse / R,2025-10-30
CIEN,Purchase,Lisa C. McClainHouse / R,2025-10-30
CLX,Purchase,Lisa C. McClainHouse / R,2025-10-30
CMI,Purchase,Lisa C. McClainHouse / R,2025-10-30
CNM,Purchase,Lisa C. McClainHouse / R,2025-10-30
COHR,Purchase,Lisa C. McClainHouse / R,2025-10-30
AVGO,Purchase,Lisa C. McClainHouse / R,2025-10-30
COP,Purchase,Lisa C. McClainHouse / R,2025-10-30
AAPL,Purchase,Lisa C. McClainHouse / R,2025-10-30
APPF,Purchase,Lisa C. McClainHouse / R,2025-10-30
AMH,Purchase,Lisa C. McClainHouse / R,2025-10-30
AMD,Purchase,Lisa C. McClainHouse / R,2025-10-30
ALLE,Purchase,Lisa C. McClainHouse / R,2025-10-30
ALEX,Purchase,Lisa C. McClainHouse / R,2025-10-30
AKAM,Purchase,Lisa C. McClainHouse / R,2025-10-30
ACIW,Purchase,Lisa C. McClainHouse / R,2025-10-30
ABBV,Purchase,Lisa C. McClainHouse / R,2025-10-30
CSCO,Purchase,Jared MoskowitzHouse / D,2025-10-10
CSCO,Purchase,Jared MoskowitzHouse / D,2025-10-10
AXP,Purchase,Jared MoskowitzHouse / D,2025-10-10
AVGO,Purchase,Jared MoskowitzHouse / D,2025-10-10
AXP,Purchase,Jared MoskowitzHouse / D,2025-10-10
AXP,Purchase,Jared MoskowitzHouse / D,2025-10-10
AVGO,Purchase,Jared MoskowitzHouse / D,2025-10-10
DELL,Purchase,Jared MoskowitzHouse / D,2025-10-10
CSCO,Purchase,Jared MoskowitzHouse / D,2025-10-10
GS,Purchase,Jared MoskowitzHouse / D,2025-10-10
DELL,Purchase,Jared MoskowitzHouse / D,2025-10-10
DELL,Purchase,Jared MoskowitzHouse / D,2025-10-10
GS,Purchase,Jared MoskowitzHouse / D,2025-10-10
GS,Purchase,Jared MoskowitzHouse / D,2025-10-10
MCK,Purchase,Jared MoskowitzHouse / D,2025-10-10
TSM,Purchase,Jared MoskowitzHouse / D,2025-10-10
TSM,Purchase,Jared MoskowitzHouse / D,2025-10-10
AVGO,Purchase,Jared MoskowitzHouse / D,2025-10-10
