Stock,Transaction,Politician,Traded
SMCY,Purchase,Tim MooreHouse / R,2025-08-29
UPS,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
FDX,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
EXC,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
TZA,Purchase,Tim MooreHouse / R,2025-08-28
MELI,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
MRK,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
MS,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
NVO,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
PEP,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
RHP,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
SO,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
UNH,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
GOOG,Purchase,Marjorie Taylor GreeneHouse / R,2025-08-28
TZA,Purchase,Tim MooreHouse / R,2025-08-25
BJ,Purchase,April McClain DelaneyHouse / D,2025-08-25
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-22
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-22
NTRA,Purchase,Josh GottheimerHouse / D,2025-08-22
MKL,Purchase,April McClain DelaneyHouse / D,2025-08-21
SMCY,Purchase,Tim MooreHouse / R,2025-08-21
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-20
MSTY,Purchase,Tim MooreHouse / R,2025-08-20
SMCY,Purchase,Tim MooreHouse / R,2025-08-20
HTGC,Purchase,Virginia FoxxHouse / R,2025-08-19
ASTH,Purchase,Judy ChuHouse / D,2025-08-19
AVGO,Purchase,Cleo FieldsHouse / D,2025-08-15
AMD,Purchase,Cleo FieldsHouse / D,2025-08-15
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-15
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-15
TSM,Purchase,Cleo FieldsHouse / D,2025-08-15
TSM,Purchase,Cleo FieldsHouse / D,2025-08-15
AMZN,Purchase,Cleo FieldsHouse / D,2025-08-15
AMZN,Purchase,Cleo FieldsHouse / D,2025-08-15
AVGO,Purchase,Cleo FieldsHouse / D,2025-08-15
TZA,Purchase,Tim MooreHouse / R,2025-08-14
LLY,Purchase,David TaylorHouse / R,2025-08-14
LLY,Purchase,David TaylorHouse / R,2025-08-14
MPC,Purchase,David TaylorHouse / R,2025-08-14
PLD,Purchase,David TaylorHouse / R,2025-08-14
ARLP,Purchase,Virginia FoxxHouse / R,2025-08-14
AAPL,Purchase,Cleo FieldsHouse / D,2025-08-14
PG,Purchase,David TaylorHouse / R,2025-08-13
AVGO,Purchase,Cleo FieldsHouse / D,2025-08-13
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-13
TSM,Purchase,Cleo FieldsHouse / D,2025-08-13
TSM,Purchase,Cleo FieldsHouse / D,2025-08-13
META,Purchase,Cleo FieldsHouse / D,2025-08-13
TZA,Purchase,Tim MooreHouse / R,2025-08-13
V,Purchase,David TaylorHouse / R,2025-08-13
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-13
V,Purchase,David TaylorHouse / R,2025-08-13
PLTR,Purchase,Cleo FieldsHouse / D,2025-08-13
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-13
HY,Purchase,Tim MooreHouse / R,2025-08-12
MSTY,Purchase,Tim MooreHouse / R,2025-08-11
INTC,Purchase,Tim MooreHouse / R,2025-08-11
INTC,Purchase,Tim MooreHouse / R,2025-08-08
UNH,Purchase,Tim MooreHouse / R,2025-08-08
CNC,Purchase,Tim MooreHouse / R,2025-08-08
JLL,Purchase,April McClain DelaneyHouse / D,2025-08-07
MKL,Purchase,April McClain DelaneyHouse / D,2025-08-07
CNC,Purchase,Tim MooreHouse / R,2025-08-07
VRTX,Purchase,David TaylorHouse / R,2025-08-07
HY,Purchase,Tim MooreHouse / R,2025-08-07
PG,Purchase,David TaylorHouse / R,2025-08-07
SMCY,Purchase,Tim MooreHouse / R,2025-08-07
CRM,Purchase,David TaylorHouse / R,2025-08-07
LRCX,Purchase,Byron DonaldsHouse / R,2025-08-07
LRCX,Purchase,Byron DonaldsHouse / R,2025-08-07
PLD,Purchase,David TaylorHouse / R,2025-08-07
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-06
DNUT,Purchase,Tim MooreHouse / R,2025-08-04
MORN,Purchase,April McClain DelaneyHouse / D,2025-08-02
PTC,Purchase,April McClain DelaneyHouse / D,2025-08-01
AMZN,Purchase,Cleo FieldsHouse / D,2025-08-01
AMD,Purchase,Cleo FieldsHouse / D,2025-08-01
AAPL,Purchase,Cleo FieldsHouse / D,2025-08-01
SHW,Purchase,Shelley Moore CapitoSenate / R,2025-08-01
PLD,Purchase,Shelley Moore CapitoSenate / R,2025-08-01
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-01
META,Purchase,Cleo FieldsHouse / D,2025-08-01
META,Purchase,Cleo FieldsHouse / D,2025-08-01
NVDA,Purchase,Cleo FieldsHouse / D,2025-08-01
MSFT,Purchase,Cleo FieldsHouse / D,2025-08-01
MSFT,Purchase,Cleo FieldsHouse / D,2025-08-01
MSFT,Purchase,Cleo FieldsHouse / D,2025-08-01
TSM,Purchase,Cleo FieldsHouse / D,2025-08-01
TSM,Purchase,Cleo FieldsHouse / D,2025-08-01
FIG,Purchase,Cleo FieldsHouse / D,2025-08-01
INTC,Purchase,Tim MooreHouse / R,2025-08-01
UNH,Purchase,Tim MooreHouse / R,2025-08-01
GOOG,Purchase,Cleo FieldsHouse / D,2025-08-01
MKL,Purchase,April McClain DelaneyHouse / D,2025-08-01
FIG,Purchase,Cleo FieldsHouse / D,2025-08-01
DNUT,Purchase,Tim MooreHouse / R,2025-08-01
T,Purchase,David TaylorHouse / R,2025-07-18
PGR,Purchase,David TaylorHouse / R,2025-07-18
T,Purchase,David TaylorHouse / R,2025-07-18
